"ust_kategori","tarimsal_alt_grup","il_kod","il_adi","ilce_kod","ilce_adi","period","duzey_kodu","duzey_tip","y2021","y2022","y2023","y2024","il_ilce_adi"
Tarýmsal Üretim,"Meyveler, içecek ve baharat bitkileri",1,Adana,1748,Yüreðir,yillik,1748,4,140,155,160,160,Adana Yüreðir
Tarýmsal Üretim,Örtüaltý meyveler,1,Adana,1748,Yüreðir,yillik,1748,4,4,4,8,8,Adana Yüreðir
Tarýmsal Üretim,Örtüaltý sebzeler,1,Adana,1748,Yüreðir,yillik,1748,4,12,12,20,18,Adana Yüreðir
Tarýmsal Üretim,Örtüaltý süs bitkileri,1,Adana,1748,Yüreðir,yillik,1748,4,0,2,2,2,Adana Yüreðir
Tarýmsal Üretim,Sebzeler,1,Adana,1748,Yüreðir,yillik,1748,4,33,33,37,49,Adana Yüreðir
Tarýmsal Üretim,Süs bitkileri,1,Adana,1748,Yüreðir,yillik,1748,4,0,2,2,2,Adana Yüreðir
Tarýmsal Üretim,Tahýllar ve diðer bitkisel ürünler,1,Adana,1748,Yüreðir,yillik,1748,4,78,82,74,78,Adana Yüreðir
Tarýmsal Üretim,Diðer,1,Adana,1757,Aladað,yillik,1757,4,151,152,151,156,Adana Aladað
Tarýmsal Üretim,"Meyveler, içecek ve baharat bitkileri",1,Adana,1757,Aladað,yillik,1757,4,95,110,110,125,Adana Aladað
Tarýmsal Üretim,Sebzeler,1,Adana,1757,Aladað,yillik,1757,4,10,10,10,10,Adana Aladað
Tarýmsal Üretim,Tahýllar ve diðer bitkisel ürünler,1,Adana,1757,Aladað,yillik,1757,4,39,43,39,51,Adana Aladað
Tarýmsal Üretim,Diðer,1,Adana,1806,Ýmamoðlu,yillik,1806,4,228,228,232,229,Adana Ýmamoðlu
Tarýmsal Üretim,"Meyveler, içecek ve baharat bitkileri",1,Adana,1806,Ýmamoðlu,yillik,1806,4,100,115,115,115,Adana Ýmamoðlu
Tarýmsal Üretim,Örtüaltý meyveler,1,Adana,1806,Ýmamoðlu,yillik,1806,4,2,4,4,2,Adana Ýmamoðlu
Tarýmsal Üretim,Örtüaltý sebzeler,1,Adana,1806,Ýmamoðlu,yillik,1806,4,2,2,2,2,Adana Ýmamoðlu
Tarýmsal Üretim,Sebzeler,1,Adana,1806,Ýmamoðlu,yillik,1806,4,13,15,20,25,Adana Ýmamoðlu
Tarýmsal Üretim,Tahýllar ve diðer bitkisel ürünler,1,Adana,1806,Ýmamoðlu,yillik,1806,4,74,78,74,66,Adana Ýmamoðlu
Tarýmsal Üretim,Diðer,1,Adana,2032,Sarýçam,yillik,2032,4,255,257,258,263,Adana Sarýçam
Tarýmsal Üretim,"Meyveler, içecek ve baharat bitkileri",1,Adana,2032,Sarýçam,yillik,2032,4,110,110,110,124,Adana Sarýçam
Tarýmsal Üretim,Örtüaltý meyveler,1,Adana,2032,Sarýçam,yillik,2032,4,4,4,4,4,Adana Sarýçam
Tarýmsal Üretim,Örtüaltý sebzeler,1,Adana,2032,Sarýçam,yillik,2032,4,4,4,12,8,Adana Sarýçam
Tarýmsal Üretim,Sebzeler,1,Adana,2032,Sarýçam,yillik,2032,4,34,34,37,49,Adana Sarýçam
Tarýmsal Üretim,Süs bitkileri,1,Adana,2032,Sarýçam,yillik,2032,4,2,2,2,2,Adana Sarýçam
Tarýmsal Üretim,Tahýllar ve diðer bitkisel ürünler,1,Adana,2032,Sarýçam,yillik,2032,4,86,90,90,106,Adana Sarýçam
Tarýmsal Üretim,Diðer,1,Adana,2033,Çukurova,yillik,2033,4,214,213,191,190,Adana Çukurova
Tarýmsal Üretim,"Meyveler, içecek ve baharat bitkileri",1,Adana,2033,Çukurova,yillik,2033,4,105,110,110,115,Adana Çukurova
Tarýmsal Üretim,Örtüaltý meyveler,1,Adana,2033,Çukurova,yillik,2033,4,2,2,4,6,Adana Çukurova
Tarýmsal Üretim,Sebzeler,1,Adana,2033,Çukurova,yillik,2033,4,28,28,28,34,Adana Çukurova
Tarýmsal Üretim,Tahýllar ve diðer bitkisel ürünler,1,Adana,2033,Çukurova,yillik,2033,4,58,58,47,43,Adana Çukurova
Tarýmsal Üretim,Diðer,2,Adýyaman,1105,Merkez,yillik,1105,4,247,264,267,258,Adýyaman Merkez
Tarýmsal Üretim,"Meyveler, içecek ve baharat bitkileri",2,Adýyaman,1105,Merkez,yillik,1105,4,110,105,105,110,Adýyaman Merkez
Tarýmsal Üretim,Örtüaltý sebzeler,2,Adýyaman,1105,Merkez,yillik,1105,4,6,6,6,6,Adýyaman Merkez
Tarýmsal Üretim,Sebzeler,2,Adýyaman,1105,Merkez,yillik,1105,4,48,48,46,48,Adýyaman Merkez
Tarýmsal Üretim,Tahýllar ve diðer bitkisel ürünler,2,Adýyaman,1105,Merkez,yillik,1105,4,90,98,94,90,Adýyaman Merkez
Tarýmsal Üretim,Diðer,2,Adýyaman,1182,Besni,yillik,1182,4,269,264,247,250,Adýyaman Besni
Tarýmsal Üretim,"Meyveler, içecek ve baharat bitkileri",2,Adýyaman,1182,Besni,yillik,1182,4,135,144,140,140,Adýyaman Besni
Tarýmsal Üretim,Sebzeler,2,Adýyaman,1182,Besni,yillik,1182,4,38,30,36,36,Adýyaman Besni
Tarýmsal Üretim,Tahýllar ve diðer bitkisel ürünler,2,Adýyaman,1182,Besni,yillik,1182,4,98,102,78,74,Adýyaman Besni
Tarýmsal Üretim,Diðer,2,Adýyaman,1246,Çelikhan,yillik,1246,4,141,132,133,134,Adýyaman Çelikhan
Tarýmsal Üretim,"Meyveler, içecek ve baharat bitkileri",2,Adýyaman,1246,Çelikhan,yillik,1246,4,90,90,90,90,Adýyaman Çelikhan
Tarýmsal Üretim,Sebzeler,2,Adýyaman,1246,Çelikhan,yillik,1246,4,16,16,16,16,Adýyaman Çelikhan
Tarýmsal Üretim,Tahýllar ve diðer bitkisel ürünler,2,Adýyaman,1246,Çelikhan,yillik,1246,4,35,35,35,35,Adýyaman Çelikhan
Tarýmsal Üretim,Diðer,2,Adýyaman,1347,Gerger,yillik,1347,4,200,191,194,199,Adýyaman Gerger
Tarýmsal Üretim,"Meyveler, içecek ve baharat bitkileri",2,Adýyaman,1347,Gerger,yillik,1347,4,95,95,95,95,Adýyaman Gerger
Tarýmsal Üretim,Sebzeler,2,Adýyaman,1347,Gerger,yillik,1347,4,38,38,38,38,Adýyaman Gerger
Tarýmsal Üretim,Tahýllar ve diðer bitkisel ürünler,2,Adýyaman,1347,Gerger,yillik,1347,4,62,62,62,62,Adýyaman Gerger
Tarýmsal Üretim,Diðer,2,Adýyaman,1354,Gölbaþý,yillik,1354,4,194,190,200,202,Adýyaman Gölbaþý
Tarýmsal Üretim,"Meyveler, içecek ve baharat bitkileri",2,Adýyaman,1354,Gölbaþý,yillik,1354,4,130,125,125,125,Adýyaman Gölbaþý
Tarýmsal Üretim,Sebzeler,2,Adýyaman,1354,Gölbaþý,yillik,1354,4,20,18,18,18,Adýyaman Gölbaþý
Tarýmsal Üretim,Tahýllar ve diðer bitkisel ürünler,2,Adýyaman,1354,Gölbaþý,yillik,1354,4,66,62,86,86,Adýyaman Gölbaþý
Tarýmsal Üretim,Diðer,2,Adýyaman,1425,Kahta,yillik,1425,4,237,219,226,244,Adýyaman Kahta
Tarýmsal Üretim,"Meyveler, içecek ve baharat bitkileri",2,Adýyaman,1425,Kahta,yillik,1425,4,95,95,95,95,Adýyaman Kahta
Tarýmsal Üretim,Örtüaltý sebzeler,2,Adýyaman,1425,Kahta,yillik,1425,4,2,4,4,2,Adýyaman Kahta
Tarýmsal Üretim,Sebzeler,2,Adýyaman,1425,Kahta,yillik,1425,4,36,20,22,24,Adýyaman Kahta
Tarýmsal Üretim,Tahýllar ve diðer bitkisel ürünler,2,Adýyaman,1425,Kahta,yillik,1425,4,82,66,74,78,Adýyaman Kahta
Tarýmsal Üretim,Diðer,2,Adýyaman,1592,Samsat,yillik,1592,4,186,179,178,180,Adýyaman Samsat
Tarýmsal Üretim,"Meyveler, içecek ve baharat bitkileri",2,Adýyaman,1592,Samsat,yillik,1592,4,70,70,70,70,Adýyaman Samsat
Tarýmsal Üretim,Sebzeler,2,Adýyaman,1592,Samsat,yillik,1592,4,12,12,12,12,Adýyaman Samsat
Tarýmsal Üretim,Tahýllar ve diðer bitkisel ürünler,2,Adýyaman,1592,Samsat,yillik,1592,4,58,62,62,58,Adýyaman Samsat
Tarýmsal Üretim,Diðer,2,Adýyaman,1985,Sincik,yillik,1985,4,132,121,127,130,Adýyaman Sincik
Tarýmsal Üretim,"Meyveler, içecek ve baharat bitkileri",2,Adýyaman,1985,Sincik,yillik,1985,4,80,75,80,80,Adýyaman Sincik
Tarýmsal Üretim,Sebzeler,2,Adýyaman,1985,Sincik,yillik,1985,4,6,6,6,6,Adýyaman Sincik
Tarýmsal Üretim,Tahýllar ve diðer bitkisel ürünler,2,Adýyaman,1985,Sincik,yillik,1985,4,35,31,35,35,Adýyaman Sincik
Tarýmsal Üretim,Diðer,2,Adýyaman,1989,Tut,yillik,1989,4,190,178,194,192,Adýyaman Tut
Tarýmsal Üretim,"Meyveler, içecek ve baharat bitkileri",2,Adýyaman,1989,Tut,yillik,1989,4,120,120,115,115,Adýyaman Tut
Tarýmsal Üretim,Örtüaltý sebzeler,2,Adýyaman,1989,Tut,yillik,1989,4,4,4,2,2,Adýyaman Tut
Tarýmsal Üretim,Sebzeler,2,Adýyaman,1989,Tut,yillik,1989,4,30,30,30,30,Adýyaman Tut
Tarýmsal Üretim,Tahýllar ve diðer bitkisel ürünler,2,Adýyaman,1989,Tut,yillik,1989,4,70,54,62,58,Adýyaman Tut
Tarýmsal Üretim,Diðer,3,Afyonkarahisar,1108,Merkez,yillik,1108,4,234,232,232,232,Afyonkarahisar Merkez
Tarýmsal Üretim,"Meyveler, içecek ve baharat bitkileri",3,Afyonkarahisar,1108,Merkez,yillik,1108,4,85,85,60,65,Afyonkarahisar Merkez
Tarýmsal Üretim,Örtüaltý sebzeler,3,Afyonkarahisar,1108,Merkez,yillik,1108,4,4,4,4,4,Afyonkarahisar Merkez
Tarýmsal Üretim,Sebzeler,3,Afyonkarahisar,1108,Merkez,yillik,1108,4,41,41,41,41,Afyonkarahisar Merkez
Tarýmsal Üretim,Tahýllar ve diðer bitkisel ürünler,3,Afyonkarahisar,1108,Merkez,yillik,1108,4,122,122,122,122,Afyonkarahisar Merkez
Tarýmsal Üretim,Diðer,3,Afyonkarahisar,1200,Bolvadin,yillik,1200,4,230,228,240,240,Afyonkarahisar Bolvadin
Tarýmsal Üretim,"Meyveler, içecek ve baharat bitkileri",3,Afyonkarahisar,1200,Bolvadin,yillik,1200,4,75,70,75,75,Afyonkarahisar Bolvadin
Tarýmsal Üretim,Örtüaltý sebzeler,3,Afyonkarahisar,1200,Bolvadin,yillik,1200,4,0,6,6,6,Afyonkarahisar Bolvadin
Tarýmsal Üretim,Sebzeler,3,Afyonkarahisar,1200,Bolvadin,yillik,1200,4,26,22,26,30,Afyonkarahisar Bolvadin
Tarýmsal Üretim,Tahýllar ve diðer bitkisel ürünler,3,Afyonkarahisar,1200,Bolvadin,yillik,1200,4,91,75,91,95,Afyonkarahisar Bolvadin
Tarýmsal Üretim,Diðer,3,Afyonkarahisar,1239,Çay,yillik,1239,4,249,255,259,250,Afyonkarahisar Çay
Tarýmsal Üretim,"Meyveler, içecek ve baharat bitkileri",3,Afyonkarahisar,1239,Çay,yillik,1239,4,109,114,110,110,Afyonkarahisar Çay
Tarýmsal Üretim,Örtüaltý sebzeler,3,Afyonkarahisar,1239,Çay,yillik,1239,4,8,8,8,8,Afyonkarahisar Çay
Tarýmsal Üretim,Sebzeler,3,Afyonkarahisar,1239,Çay,yillik,1239,4,36,40,40,32,Afyonkarahisar Çay
Tarýmsal Üretim,Tahýllar ve diðer bitkisel ürünler,3,Afyonkarahisar,1239,Çay,yillik,1239,4,147,151,155,143,Afyonkarahisar Çay
Tarýmsal Üretim,Diðer,3,Afyonkarahisar,1267,Dazkýrý,yillik,1267,4,201,205,210,209,Afyonkarahisar Dazkýrý
Tarýmsal Üretim,"Meyveler, içecek ve baharat bitkileri",3,Afyonkarahisar,1267,Dazkýrý,yillik,1267,4,95,99,99,95,Afyonkarahisar Dazkýrý
Tarýmsal Üretim,Örtüaltý sebzeler,3,Afyonkarahisar,1267,Dazkýrý,yillik,1267,4,0,0,0,0,Afyonkarahisar Dazkýrý
Tarýmsal Üretim,Sebzeler,3,Afyonkarahisar,1267,Dazkýrý,yillik,1267,4,25,31,31,31,Afyonkarahisar Dazkýrý
Tarýmsal Üretim,Süs bitkileri,3,Afyonkarahisar,1267,Dazkýrý,yillik,1267,4,0,0,0,0,Afyonkarahisar Dazkýrý
Tarýmsal Üretim,Tahýllar ve diðer bitkisel ürünler,3,Afyonkarahisar,1267,Dazkýrý,yillik,1267,4,114,126,126,126,Afyonkarahisar Dazkýrý
Tarýmsal Üretim,Diðer,3,Afyonkarahisar,1281,Dinar,yillik,1281,4,243,244,246,246,Afyonkarahisar Dinar
Tarýmsal Üretim,"Meyveler, içecek ve baharat bitkileri",3,Afyonkarahisar,1281,Dinar,yillik,1281,4,139,139,139,134,Afyonkarahisar Dinar
Tarýmsal Üretim,Örtüaltý sebzeler,3,Afyonkarahisar,1281,Dinar,yillik,1281,4,6,6,2,2,Afyonkarahisar Dinar
Tarýmsal Üretim,Sebzeler,3,Afyonkarahisar,1281,Dinar,yillik,1281,4,38,36,36,36,Afyonkarahisar Dinar
Tarýmsal Üretim,Tahýllar ve diðer bitkisel ürünler,3,Afyonkarahisar,1281,Dinar,yillik,1281,4,135,139,143,143,Afyonkarahisar Dinar
Tarýmsal Üretim,Diðer,3,Afyonkarahisar,1306,Emirdað,yillik,1306,4,245,243,243,231,Afyonkarahisar Emirdað
Tarýmsal Üretim,"Meyveler, içecek ve baharat bitkileri",3,Afyonkarahisar,1306,Emirdað,yillik,1306,4,65,55,55,50,Afyonkarahisar Emirdað
Tarýmsal Üretim,Sebzeler,3,Afyonkarahisar,1306,Emirdað,yillik,1306,4,11,9,9,9,Afyonkarahisar Emirdað
Tarýmsal Üretim,Tahýllar ve diðer bitkisel ürünler,3,Afyonkarahisar,1306,Emirdað,yillik,1306,4,103,99,99,83,Afyonkarahisar Emirdað
Tarýmsal Üretim,Diðer,3,Afyonkarahisar,1404,Ýhsaniye,yillik,1404,4,222,195,200,201,Afyonkarahisar Ýhsaniye
Tarýmsal Üretim,"Meyveler, içecek ve baharat bitkileri",3,Afyonkarahisar,1404,Ýhsaniye,yillik,1404,4,70,70,70,65,Afyonkarahisar Ýhsaniye
Tarýmsal Üretim,Örtüaltý sebzeler,3,Afyonkarahisar,1404,Ýhsaniye,yillik,1404,4,2,2,2,2,Afyonkarahisar Ýhsaniye
Tarýmsal Üretim,Sebzeler,3,Afyonkarahisar,1404,Ýhsaniye,yillik,1404,4,38,14,14,10,Afyonkarahisar Ýhsaniye
Tarýmsal Üretim,Tahýllar ve diðer bitkisel ürünler,3,Afyonkarahisar,1404,Ýhsaniye,yillik,1404,4,107,94,98,98,Afyonkarahisar Ýhsaniye
Tarýmsal Üretim,Diðer,3,Afyonkarahisar,1594,Sandýklý,yillik,1594,4,244,242,236,236,Afyonkarahisar Sandýklý
Tarýmsal Üretim,"Meyveler, içecek ve baharat bitkileri",3,Afyonkarahisar,1594,Sandýklý,yillik,1594,4,79,79,84,84,Afyonkarahisar Sandýklý
Tarýmsal Üretim,Örtüaltý sebzeler,3,Afyonkarahisar,1594,Sandýklý,yillik,1594,4,8,6,6,6,Afyonkarahisar Sandýklý
Tarýmsal Üretim,Sebzeler,3,Afyonkarahisar,1594,Sandýklý,yillik,1594,4,48,46,46,44,Afyonkarahisar Sandýklý
Tarýmsal Üretim,Tahýllar ve diðer bitkisel ürünler,3,Afyonkarahisar,1594,Sandýklý,yillik,1594,4,115,115,107,107,Afyonkarahisar Sandýklý
Tarýmsal Üretim,Diðer,3,Afyonkarahisar,1626,Sinanpaþa,yillik,1626,4,222,208,208,209,Afyonkarahisar Sinanpaþa
Tarýmsal Üretim,"Meyveler, içecek ve baharat bitkileri",3,Afyonkarahisar,1626,Sinanpaþa,yillik,1626,4,70,55,55,55,Afyonkarahisar Sinanpaþa
Tarýmsal Üretim,Örtüaltý sebzeler,3,Afyonkarahisar,1626,Sinanpaþa,yillik,1626,4,2,2,2,2,Afyonkarahisar Sinanpaþa
Tarýmsal Üretim,Sebzeler,3,Afyonkarahisar,1626,Sinanpaþa,yillik,1626,4,30,28,28,10,Afyonkarahisar Sinanpaþa
Tarýmsal Üretim,Tahýllar ve diðer bitkisel ürünler,3,Afyonkarahisar,1626,Sinanpaþa,yillik,1626,4,107,87,91,91,Afyonkarahisar Sinanpaþa
Tarýmsal Üretim,Diðer,3,Afyonkarahisar,1639,Sultandaðý,yillik,1639,4,210,208,212,212,Afyonkarahisar Sultandaðý
Tarýmsal Üretim,"Meyveler, içecek ve baharat bitkileri",3,Afyonkarahisar,1639,Sultandaðý,yillik,1639,4,120,120,120,120,Afyonkarahisar Sultandaðý
Tarýmsal Üretim,Sebzeler,3,Afyonkarahisar,1639,Sultandaðý,yillik,1639,4,10,10,10,10,Afyonkarahisar Sultandaðý
Tarýmsal Üretim,Tahýllar ve diðer bitkisel ürünler,3,Afyonkarahisar,1639,Sultandaðý,yillik,1639,4,71,71,71,75,Afyonkarahisar Sultandaðý
Tarýmsal Üretim,Diðer,3,Afyonkarahisar,1664,Å?uhut,yillik,1664,4,211,208,214,215,Afyonkarahisar Å?uhut
Tarýmsal Üretim,"Meyveler, içecek ve baharat bitkileri",3,Afyonkarahisar,1664,Å?uhut,yillik,1664,4,80,84,80,80,Afyonkarahisar Å?uhut
Tarýmsal Üretim,Örtüaltý sebzeler,3,Afyonkarahisar,1664,Å?uhut,yillik,1664,4,8,8,8,8,Afyonkarahisar Å?uhut
Tarýmsal Üretim,Sebzeler,3,Afyonkarahisar,1664,Å?uhut,yillik,1664,4,52,48,48,48,Afyonkarahisar Å?uhut
Tarýmsal Üretim,Tahýllar ve diðer bitkisel ürünler,3,Afyonkarahisar,1664,Å?uhut,yillik,1664,4,103,107,111,111,Afyonkarahisar Å?uhut
Tarýmsal Üretim,Diðer,3,Afyonkarahisar,1771,Baþmakçý,yillik,1771,4,225,221,222,223,Afyonkarahisar Baþmakçý
Tarýmsal Üretim,"Meyveler, içecek ve baharat bitkileri",3,Afyonkarahisar,1771,Baþmakçý,yillik,1771,4,90,75,75,75,Afyonkarahisar Baþmakçý
Tarýmsal Üretim,Örtüaltý sebzeler,3,Afyonkarahisar,1771,Baþmakçý,yillik,1771,4,6,6,4,4,Afyonkarahisar Baþmakçý
Tarýmsal Üretim,Sebzeler,3,Afyonkarahisar,1771,Baþmakçý,yillik,1771,4,26,26,24,24,Afyonkarahisar Baþmakçý
Tarýmsal Üretim,Tahýllar ve diðer bitkisel ürünler,3,Afyonkarahisar,1771,Baþmakçý,yillik,1771,4,99,91,95,91,Afyonkarahisar Baþmakçý
Tarýmsal Üretim,Diðer,3,Afyonkarahisar,1773,Bayat,yillik,1773,4,182,196,194,194,Afyonkarahisar Bayat
Tarýmsal Üretim,"Meyveler, içecek ve baharat bitkileri",3,Afyonkarahisar,1773,Bayat,yillik,1773,4,55,50,50,40,Afyonkarahisar Bayat
